gameId,path,result,timestamp,mouseX,mouseY
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,0,0,2309,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,1,0,2325,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,2,0,2341,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,3,0,2357,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,4,0,2373,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,5,0,2389,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,6,0,2405,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,7,0,2421,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,8,0,2437,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,9,0,2453,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,10,0,2469,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,11,0,2485,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,12,0,2501,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,13,0,2517,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,14,0,2533,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,15,0,2549,1235,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,16,0,2565,1238,375
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,17,0,2581,1253,379
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,18,0,2597,1278,387
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,19,0,2613,1332,401
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,20,0,2629,1400,423
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,21,0,2645,1505,453
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,22,0,2661,1601,477
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,23,0,2677,1709,497
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,24,0,2693,1709,497
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,25,0,2709,1797,509
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,26,0,2725,1877,517
d354a23a-323d-4cc3-8e6e-bc05d9a1420a,27,0,2741,1991,519
