gameId,phase,result,path,timestamp,mouseX,mouseY
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,0,1627978060309,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,1,1627978060325,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,2,1627978060341,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,3,1627978060357,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,4,1627978060373,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,5,1627978060389,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,6,1627978060405,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,7,1627978060421,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,8,1627978060437,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,9,1627978060453,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,10,1627978060469,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,11,1627978060485,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,12,1627978060501,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,13,1627978060517,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,14,1627978060533,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,15,1627978060549,1300,384
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,16,1627978060565,1322,394
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,17,1627978060581,1370,408
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,18,1627978060597,1448,425
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,19,1627978060613,1529,443
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,20,1627978060629,1615,463
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,21,1627978060645,1679,479
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,22,1627978060661,1823,517
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,23,1627978060677,1903,535
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,24,1627978060693,1973,549
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,25,1627978060709,1973,549
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,26,1627978060725,2013,559
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,27,1627978060741,2063,569
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,28,1627978060757,2129,587
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,29,1627978060773,2136,589
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,30,1627978060789,2176,595
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,31,1627978060805,2209,597
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,32,1627978060821,2224,600
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,33,1627978060837,2242,603
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,34,1627978060853,2276,612
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,35,1627978060869,2302,617
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,36,1627978060885,2337,622
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,37,1627978060901,2357,625
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,38,1627978060917,2376,628
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,39,1627978060933,2389,628
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,40,1627978060949,2396,628
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,41,1627978060965,2401,626
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,42,1627978060981,2404,625
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,43,1627978060997,2414,624
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,44,1627978061013,2426,621
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,45,1627978061029,2439,618
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,46,1627978061045,2444,615
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,47,1627978061061,2445,614
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,48,1627978061077,2446,613
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,49,1627978061093,2448,612
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,50,1627978061109,2453,610
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,51,1627978061125,2453,610
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,52,1627978061141,2459,608
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,53,1627978061157,2463,607
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,54,1627978061173,2467,605
ef9fb3c0-3f06-4b7a-9ae8-2c93d38583b1,0,0,55,1627978061189,2468,604
